date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:31	386421/386421	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e575-5674a33737a00%22	https://preview.colorlib.com/theme/evento/assets/fonts/fontawesome-webfont.svg?v=4.7.0	preview.colorlib.com/theme/evento/assets/fonts/fontawesome-webfont3e6e.svg	(from https://preview.colorlib.com/theme/evento/assets/css/font-awesome.min.css)
21:08:32	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22da0c-5674a37dca080%22	https://preview.colorlib.com/theme/evento/assets/fonts/Linearicons-Free.eot?	preview.colorlib.com/theme/evento/assets/fonts/Linearicons-Freed41d.eot	(from https://preview.colorlib.com/theme/evento/assets/css/font-awesome.min.css)
21:08:32	21780/21780	---M--	200	added ('OK')	font/woff2	etag:%225514-5674a39f2af40%22	https://preview.colorlib.com/theme/evento/assets/fonts/Linearicons-Free.woff2?w118d	preview.colorlib.com/theme/evento/assets/fonts/Linearicons-Free54e9.woff2	(from https://preview.colorlib.com/theme/evento/assets/css/font-awesome.min.css)
21:08:34	55696/55696	---M--	200	added ('OK')	font/woff	etag:%22d990-5674a39b5a640%22	https://preview.colorlib.com/theme/evento/assets/fonts/Linearicons-Free.woff?w118d	preview.colorlib.com/theme/evento/assets/fonts/Linearicons-Free54e9.woff	(from https://preview.colorlib.com/theme/evento/assets/css/font-awesome.min.css)
21:08:35	55620/55620	---MCZ	200	added ('OK')	font/ttf	etag:W/%22d944-5674a392c5200%22	https://preview.colorlib.com/theme/evento/assets/fonts/Linearicons-Free.ttf?w118d	preview.colorlib.com/theme/evento/assets/fonts/Linearicons-Free54e9.ttf	(from https://preview.colorlib.com/theme/evento/assets/css/font-awesome.min.css)
21:08:36	205850/205850	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223241a-5674a39c4e880%22	https://preview.colorlib.com/theme/evento/assets/fonts/Linearicons-Free.svg?w118d	preview.colorlib.com/theme/evento/assets/fonts/Linearicons-Free54e9.svg	(from https://preview.colorlib.com/theme/evento/assets/css/font-awesome.min.css)
21:08:37	32694/32694	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%227fb6-5674a2f28d800%22	https://preview.colorlib.com/theme/evento/assets/fonts/et-line.eot	preview.colorlib.com/theme/evento/assets/fonts/et-line.eot	(from https://preview.colorlib.com/theme/evento/assets/css/et-line.css)
21:08:38	32694/32694	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%227fb6-5674a2f28d800%22	https://preview.colorlib.com/theme/evento/assets/fonts/et-line.eot?	preview.colorlib.com/theme/evento/assets/fonts/et-lined41d.eot	(from https://preview.colorlib.com/theme/evento/assets/css/et-line.css)
21:08:38	55220/55220	---M--	200	added ('OK')	font/woff	etag:%22d7b4-5674a30b59280%22	https://preview.colorlib.com/theme/evento/assets/fonts/et-line.woff	preview.colorlib.com/theme/evento/assets/fonts/et-line.woff	(from https://preview.colorlib.com/theme/evento/assets/css/et-line.css)
21:08:40	32536/32536	---MCZ	200	added ('OK')	font/ttf	etag:W/%227f18-5674a2fdff300%22	https://preview.colorlib.com/theme/evento/assets/fonts/et-line.ttf	preview.colorlib.com/theme/evento/assets/fonts/et-line.ttf	(from https://preview.colorlib.com/theme/evento/assets/css/et-line.css)
21:08:41	175537/175537	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222adb1-5674a2fb22c40%22	https://preview.colorlib.com/theme/evento/assets/fonts/et-line.svg	preview.colorlib.com/theme/evento/assets/fonts/et-line.svg	(from https://preview.colorlib.com/theme/evento/assets/css/et-line.css)
21:08:42	120724/120724	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d794-5674a37534c40%22	https://preview.colorlib.com/theme/evento/assets/fonts/ionicons.eot?v=2.0.0	preview.colorlib.com/theme/evento/assets/fonts/ionicons28b5.eot	(from https://preview.colorlib.com/theme/evento/assets/css/ionicons.min.css)
21:08:43	188508/188508	---MCZ	200	added ('OK')	font/ttf	etag:W/%222e05c-5674a37258580%22	https://preview.colorlib.com/theme/evento/assets/fonts/ionicons.ttf?v=2.0.0	preview.colorlib.com/theme/evento/assets/fonts/ionicons28b5.ttf	(from https://preview.colorlib.com/theme/evento/assets/css/ionicons.min.css)
21:08:43	67904/67904	---M--	200	added ('OK')	font/woff	etag:%2210940-5674a38477040%22	https://preview.colorlib.com/theme/evento/assets/fonts/ionicons.woff?v=2.0.0	preview.colorlib.com/theme/evento/assets/fonts/ionicons28b5.woff	(from https://preview.colorlib.com/theme/evento/assets/css/ionicons.min.css)
21:08:44	2253/2253	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Mar%202023%2002:08:46%20GMT	https://preview.colorlib.com/theme/evento/assets/fonts/ionicons.svg?v=2.0.0	preview.colorlib.com/theme/evento/assets/fonts/ionicons28b5.svg	(from https://preview.colorlib.com/theme/evento/assets/css/ionicons.min.css)
21:08:45	2253/2253	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Mar%202023%2002:08:47%20GMT	https://preview.colorlib.com/theme/evento/assets/css/owl.video.play.png	preview.colorlib.com/theme/evento/assets/css/owl.video.play.png	(from https://preview.colorlib.com/theme/evento/assets/css/owl.carousel.min.css)
